algortihm-id;paritioning-technique;max-process;rank;max-number-matrix;total-time;calcul-time;com-time;idleness-time;calcul-rate;com-rate;idleness-rate;nb-message-exchange;size-data-com;size-data-com-in-mb;tcp;
1;1;8;4;1024;0.007135;0.004851;0.000115;0.002169;67.981724;1.614125;30.404151;0;0;0.000000;-1;
1;2;8;4;1024;0.007362;0.005164;0.000100;0.002098;70.150149;1.355446;28.494405;0;0;0.000000;-1;
1;3;8;4;1024;0.068549;0.005511;0.046638;0.016400;8.039382;68.036105;23.924513;0;0;0.000000;-1;
2;1;8;4;1024;0.004043;0.001334;0.000087;0.002622;32.987789;2.147299;64.864912;0;0;0.000000;-1;
2;2;8;4;1024;0.004185;0.001501;0.000078;0.002606;35.865584;1.863036;62.271380;0;0;0.000000;-1;
