algortihm-id;paritioning-technique;max-process;rank;max-number-matrix;total-time;calcul-time;com-time;idleness-time;calcul-rate;com-rate;idleness-rate;nb-message-exchange;size-data-com;size-data-com-in-mb;tcp;
1;1;8;6;1024;0.008182;0.003873;0.000146;0.004163;47.334885;1.782720;50.882395;0;0;0.000000;-1;
1;2;8;6;1024;0.013421;0.004573;0.000078;0.008770;34.072130;0.581383;65.346487;0;0;0.000000;-1;
1;3;8;6;1024;0.095188;0.005169;0.073675;0.016344;5.429884;77.399702;17.170414;0;0;0.000000;-1;
2;1;8;6;1024;0.003829;0.001224;0.000047;0.002558;31.961034;1.219409;66.819557;0;0;0.000000;-1;
2;2;8;6;1024;0.005676;0.001357;0.000075;0.004244;23.909725;1.323244;74.767031;0;0;0.000000;-1;
