algortihm-id;paritioning-technique;max-process;rank;max-number-matrix;total-time;calcul-time;com-time;idleness-time;calcul-rate;com-rate;idleness-rate;nb-message-exchange;size-data-com;size-data-com-in-mb;tcp;
1;1;8;3;1024;0.006942;0.004583;0.000070;0.002289;66.011160;1.014704;32.974136;0;0;0.000000;-1;
1;2;8;3;1024;0.009400;0.005042;0.000096;0.004262;53.638655;1.019931;45.341414;0;0;0.000000;-1;
1;3;8;3;1024;0.081708;0.005200;0.059644;0.016864;6.363754;72.997154;20.639091;0;0;0.000000;-1;
2;1;8;3;1024;0.004300;0.001393;0.000076;0.002831;32.404250;1.770994;65.824756;0;0;0.000000;-1;
2;2;8;3;1024;0.004055;0.001540;0.000080;0.002435;37.974293;1.976884;60.048823;0;0;0.000000;-1;
