algortihm-id;paritioning-technique;max-process;rank;max-number-matrix;total-time;calcul-time;com-time;idleness-time;calcul-rate;com-rate;idleness-rate;nb-message-exchange;size-data-com;size-data-com-in-mb;tcp;
1;1;8;7;1024;0.011744;0.002872;0.000060;0.008813;24.453260;0.509071;75.037669;0;0;0.000000;-1;
1;2;8;7;1024;0.006816;0.004039;0.000076;0.002700;59.260503;1.121785;39.617712;0;0;0.000000;-1;
2;1;8;7;1024;0.004013;0.001307;0.000071;0.002635;32.570450;1.769316;65.660235;0;0;0.000000;-1;
2;2;8;7;1024;0.003625;0.001222;0.000041;0.002361;33.714750;1.136993;65.148257;0;0;0.000000;-1;
