algortihm-id;paritioning-technique;max-process;rank;max-number-matrix;total-time;calcul-time;com-time;idleness-time;calcul-rate;com-rate;idleness-rate;nb-message-exchange;size-data-com;size-data-com-in-mb;tcp;
1;1;8;5;1024;0.007529;0.004199;0.000340;0.002990;55.766304;4.519174;39.714522;0;0;0.000000;-1;
1;2;8;5;1024;0.007742;0.005237;0.000078;0.002427;67.645477;1.001768;31.352755;0;0;0.000000;-1;
1;3;8;5;1024;0.078081;0.005565;0.056437;0.016078;7.127694;72.280373;20.591933;0;0;0.000000;-1;
2;1;8;5;1024;0.004247;0.001291;0.000097;0.002860;30.386322;2.278694;67.334984;0;0;0.000000;-1;
2;2;8;5;1024;0.003958;0.001497;0.000065;0.002397;37.817848;1.633211;60.548941;0;0;0.000000;-1;
